Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Summits on the Air SOTA Shirt, Ham Radio Hiking Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-ham-sota.png,Hiking & Backpacking,,"Summits on the Air. Carry it up, then put it on the air. A vintage badge tee for the SOTA activator who hauls a radio to the top and calls CQ from the summit. Comfort Colors tee, made to order. Gift for the hiking ham operator. 73.",https://www.etsy.com/listing/4553935022,2026-10-05T17:00:00,
"Field Day Amateur Radio Shirt, Ham Operator Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-ham-field-day.png,Ham Radio & Off-Grid Comms,,"One weekend, no grid, all bands. A vintage badge tee for the Field Day crowd who set up in a field, run on generators and batteries, and work the world for 24 hours straight. Comfort Colors tee, made to order. Ham radio gift for dad. 73.",https://www.etsy.com/listing/4553913067,2026-10-06T17:00:00,
"Do You Copy, Funny Ham Radio Shirt",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-ham-do-you-copy.png,Ham Radio & Off-Grid Comms,,"Do you copy. Say again, all after. A funny vintage radio badge tee for the operator who spends half the contact asking for a repeat. Comfort Colors garment-dyed cotton, made to order. Funny amateur radio gift for him.",https://www.etsy.com/listing/4553908073,2026-10-07T17:00:00,
"Mesh Happens, Funny Meshtastic Off Grid Comms Shirt",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-ham-mesh.png,Ham Radio & Off-Grid Comms,,"Mesh happens. The network that needs no towers, no carrier and no permission. A vintage badge tee for the Meshtastic and LoRa crowd building off grid networks out of pocket-sized nodes. Comfort Colors tee, made to order. Gift for the off grid comms nerd.",https://www.etsy.com/listing/4553930756,2026-10-08T17:00:00,
"When All Else Fails Ham Radio Shirt, Emcomm Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-ham-all-else-fails.png,Ham Radio & Off-Grid Comms,,"When all else fails, one crowd keys up. A vintage badge tee for the emergency communications operator, the prepper, and the ham who knows the grid is optional. Comfort Colors garment-dyed cotton, made to order. Ham radio gift for him. 73.",https://www.etsy.com/listing/4553926178,2026-10-09T17:00:00,
"Off Grid Sticker, Overland Badge Vinyl Decal",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-sticker-logo.png,Vintage Outdoor Aesthetic,,"A rugged little badge for your laptop, water bottle, cooler or truck window. The No Signal Supply Co. emblem as a weatherproof die cut vinyl sticker. Durable, water and fade resistant, made to order. Off grid and overland gift under 10 dollars.",https://www.etsy.com/listing/4553596421,2026-10-10T17:00:00,
Trail Rig Field Schematic Tee — Overlanding 4x4 Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-trail-rig.png,Overland & Off-Road Life,,"Funny 4x4 blueprint tee — ""winch: confidence."" Gift for overlanders and off-road dads. #overlanding #offroad #4x4 #overlandgift #trailrig",https://www.etsy.com/listing/4547642652,2026-10-11T17:00:00,"overlanding, offroad, 4x4, overlandgift, trailrig"
Zero Bars. Full Tank. — Funny Overlanding Quote,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/QUOTE-zero-bars.png,Overland & Off-Road Life,,For the overlander who counts two numbers. No Signal Supply Co. #overlanding #offroad #4x4 #offgrid #adventure,https://www.etsy.com/shop/NoSignalSupplyCoUS,2026-10-12T00:30:00,"overlanding, offroad, 4x4, offgrid, adventure"
Ham Station Field Schematic Tee — Ham Radio Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-ham-station.png,Ham Radio & Off-Grid Comms,,"Funny amateur radio blueprint tee — ""coax: 50 ohms of hope."" Gift for ham radio operators. #hamradio #amateurradio #hamshack #POTA #radiooperator",https://www.etsy.com/listing/4553478477,2026-10-12T17:00:00,"hamradio, amateurradio, hamshack, POTA, radiooperator"
50 Ohms of Hope — Funny Ham Radio Quote,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/QUOTE-50-ohms.png,Ham Radio & Off-Grid Comms,,Every ham operator knows. No Signal Supply Co. #hamradio #amateurradio #hamshack #POTA #offgrid,https://www.etsy.com/shop/NoSignalSupplyCoUS,2026-10-13T00:30:00,"hamradio, amateurradio, hamshack, POTA, offgrid"
Fishing Setup Field Schematic Tee — Funny Fishing Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-fishing-setup.png,Fishing & Angler Life,,"Funny fishing blueprint tee — ""lures: fish don't want these."" Gift for anglers and fishing dads. #fishinggift #fishingshirt #fisherman #fishinghumor #fishingdad",https://www.etsy.com/listing/4553500188,2026-10-13T17:00:00,"fishinggift, fishingshirt, fisherman, fishinghumor, fishingdad"
Some Roads Aren't on the Map — Overlanding Quote,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/QUOTE-some-roads.png,Overland & Off-Road Life,,For the ones who take the two-track. No Signal Supply Co. #overlanding #offroad #backroads #adventure #offgrid,https://www.etsy.com/shop/NoSignalSupplyCoUS,2026-10-14T00:30:00,"overlanding, offroad, backroads, adventure, offgrid"
Kayak Rig Field Schematic Tee — Kayaking Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-kayak-rig.png,Kayak & Lake Life,,"Funny kayak blueprint tee — ""dry bag: snacks and denial."" Gift for kayakers and paddlers. #kayaking #kayakgift #lakelife #paddling #kayaker",https://www.etsy.com/listing/4553483895,2026-10-14T17:00:00,"kayaking, kayakgift, lakelife, paddling, kayaker"
Paddle Out. Log Off. — Funny Kayaking Quote,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/QUOTE-paddle-out.png,Kayak & Lake Life,,For the paddler happiest on the water. No Signal Supply Co. #kayaking #lakelife #paddling #offgrid #adventure,https://www.etsy.com/shop/NoSignalSupplyCoUS,2026-10-15T00:30:00,"kayaking, lakelife, paddling, offgrid, adventure"
Base Camp Field Schematic Tee — Funny Camping Shirt,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-base-camp.png,Camping & Base Camp,,"Funny camping blueprint tee — ""campfire: the TV."" Gift for campers and backpackers. #camping #basecamp #campinggift #campvibes #backpacking",https://www.etsy.com/listing/4553496656,2026-10-15T17:00:00,"camping, basecamp, campinggift, campvibes, backpacking"
The Grid Can Wait — Off-Grid Adventure Quote,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/QUOTE-the-grid.png,Vintage Outdoor Aesthetic,,Log off by driving off. No Signal Supply Co. #offgrid #overlanding #camping #adventure #vanlife,https://www.etsy.com/shop/NoSignalSupplyCoUS,2026-10-16T00:30:00,"offgrid, overlanding, camping, adventure, vanlife"
Recovery Kit Field Schematic Tee — 4x4 Off Road Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-recovery-kit.png,Overland & Off-Road Life,,"Funny off-road recovery blueprint tee — ""winch: plan B through Z."" Gift for overlanders and 4x4 wheelers. #overlanding #offroad #4x4 #recoverygear #offroadgift",https://www.etsy.com/listing/4553507342,2026-10-16T17:00:00,"overlanding, offroad, 4x4, recoverygear, offroadgift"
Coordinates Withheld — Funny Overlanding Quote,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/QUOTE-coordinates.png,Overland & Off-Road Life,,Found the good spot. Keeping it. No Signal Supply Co. #overlanding #offroad #camping #adventure #offgrid,https://www.etsy.com/shop/NoSignalSupplyCoUS,2026-10-17T00:30:00,"overlanding, offroad, camping, adventure, offgrid"
Camp Coffee Field Schematic Tee — Coffee Camping Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-camp-coffee.png,Camping & Base Camp,,"Funny camp coffee blueprint tee — ""grinder: the alarm clock."" Gift for camping coffee lovers. #campcoffee #coffeelover #camping #coffeegift #camplife",https://www.etsy.com/listing/4553490671,2026-10-17T14:00:00,"campcoffee, coffeelover, camping, coffeegift, camplife"
Unreachable by Design — Off-Grid Quote,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/QUOTE-unreachable.png,Vintage Outdoor Aesthetic,,Not lost. Not ignoring you. No Signal Supply Co. #offgrid #hiking #camping #adventure #outdoors,https://www.etsy.com/shop/NoSignalSupplyCoUS,2026-10-18T00:30:00,"offgrid, hiking, camping, adventure, outdoors"
Roof Rack Field Schematic Tee — Overlanding Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-roof-rack.png,Overland & Off-Road Life,,"Funny overland roof rack blueprint tee — ""rooftop tent: the penthouse."" Gift for overlanders and rooftop tent campers. #overlanding #offroad #rooftoptent #overlandgift #4x4",https://www.etsy.com/listing/4553500271,2026-10-18T17:00:00,"overlanding, offroad, rooftoptent, overlandgift, 4x4"
"When the Grid Goes Down, I Go Up — Ham Radio Quote",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/QUOTE-when-the-grid.png,Ham Radio & Off-Grid Comms,,The operator who's calmest in a blackout. No Signal Supply Co. #hamradio #amateurradio #prepper #offgrid #POTA,https://www.etsy.com/shop/NoSignalSupplyCoUS,2026-10-19T00:30:00,"hamradio, amateurradio, prepper, offgrid, POTA"
Camp Kitchen Field Schematic Tee — Camping Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-camp-kitchen.png,Camping & Base Camp,,"Funny camp kitchen blueprint tee — ""cast iron: never washed, never dies."" Gift for campers and camp cooks. #camping #campkitchen #campinggift #castiron #camplife",https://www.etsy.com/listing/4553494285,2026-10-19T17:00:00,"camping, campkitchen, campinggift, castiron, camplife"
Day Hike Field Schematic Tee — Funny Hiking Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-day-hike.png,Hiking & Backpacking,,"Funny hiking shirt that maps a day hike like a field manual — ""map and compass: decoration."" Gift for hikers and backpackers. #hikinggift #hikingshirt #dayhike #outdoorgift #hikinghumor",https://www.etsy.com/listing/4553512524,2026-10-20T00:30:00,"hikinggift, hikingshirt, dayhike, outdoorgift, hikinghumor"
Zero Bars Full Tank Shirt — Funny Overlanding Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-badge-zero-bars.png,Overland & Off-Road Life,,Funny off-road 4x4 tee — the only two numbers that matter. Gift for overlanders and off-road dads. #overlanding #offroad #4x4 #overlandgift #campingshirt,https://www.etsy.com/listing/4553554866,2026-10-20T17:00:00,"overlanding, offroad, 4x4, overlandgift, campingshirt"
The Grid Can Wait Shirt — Rooftop Tent Camping Tee,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-badge-grid-can-wait.png,Overland & Off-Road Life,,Funny overland camping tee for the rooftop-tent crowd. Gift for overlanders and campers. #overlanding #rooftoptent #overlandcamping #offroad #campinggift,https://www.etsy.com/listing/4553547655,2026-10-21T17:00:00,"overlanding, rooftoptent, overlandcamping, offroad, campinggift"
Coordinates Withheld Shirt — Retro Overland 4x4 Tee,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-badge-coordinates.png,Overland & Off-Road Life,,Retro desert 4x4 tee for the overlander who keeps the good spot secret. #overlanding #offroad #4x4 #adventure #overlandgift,https://www.etsy.com/listing/4553550303,2026-10-22T17:00:00,"overlanding, offroad, 4x4, adventure, overlandgift"
Some Roads Aren't on the Map Shirt — Overlanding Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-badge-some-roads.png,Overland & Off-Road Life,,Funny off-road map tee for the backroad explorer. Gift for overlanders and off-road dads. #overlanding #offroad #backroads #4x4 #adventure,https://www.etsy.com/listing/4553564444,2026-10-23T17:00:00,"overlanding, offroad, backroads, 4x4, adventure"
Unreachable by Design Shirt — Off Grid Mountain Tee,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-badge-unreachable.png,Hiking & Backpacking,,Minimalist mountain tee for people happiest where the signal dies. #offgrid #hiking #mountains #camping #adventure,https://www.etsy.com/listing/4553573660,2026-10-24T17:00:00,"offgrid, hiking, mountains, camping, adventure"
When the Grid Goes Down I Go Up Shirt — Ham Radio Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-badge-grid-goes-down.png,Ham Radio & Off-Grid Comms,,Funny amateur radio tee for the operator calmest in a blackout. #hamradio #amateurradio #prepper #POTA #offgrid,https://www.etsy.com/listing/4553570142,2026-10-25T17:00:00,"hamradio, amateurradio, prepper, POTA, offgrid"
Trail Fuel Enamel Camp Mug — Funny Hiking Coffee Gift,https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-badge-paddle-out.png,Kayak & Lake Life,,Funny hiking coffee mug for backpackers and trail lovers. Enamel camp mug. #campmug #hikinggift #trailcoffee #enamelmug #coffeegift,https://www.etsy.com/listing/4553877237,2026-10-26T17:00:00,"campmug, hikinggift, trailcoffee, enamelmug, coffeegift"
"Brewed Off the Grid Enamel Camp Mug, Funny Camping Coffee Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-mug-brewed.png,Camping & Base Camp,,Coffee tastes better where the bars don't reach. Enamel camp mug for the off-grid morning crew. No Signal Supply Co. #campmug #campingcoffee #offgrid #vanlife #campinggift,https://www.etsy.com/listing/4553868949,2026-10-27T17:00:00,"campmug, campingcoffee, offgrid, vanlife, campinggift"
"Signal None Coffee Strong Enamel Mug, Funny Off Grid Camping Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-mug-signal.png,Camping & Base Camp,,Signal: none. Coffee: strong. The trade is worth it. Enamel camp mug for no-service mornings. No Signal Supply Co. #campmug #offgrid #campingcoffee #nocellservice #campinggift,https://www.etsy.com/listing/4553903656,2026-10-28T17:00:00,"campmug, offgrid, campingcoffee, nocellservice, campinggift"
"Powered by Coffee and Bad Cell Service Mug, Funny Camper Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-mug-powered.png,Camping & Base Camp,,"Two things keep the trip running, and only one of them works. Funny enamel camp mug for the dead-zone camper. No Signal Supply Co. #campmug #funnycampinggift #offgrid #vanlife #campingcoffee",https://www.etsy.com/listing/4553889945,2026-10-29T17:00:00,"campmug, funnycampinggift, offgrid, vanlife, campingcoffee"
"Coffee Then Coordinates Enamel Mug, Overlanding Camp Coffee Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-mug-coordinates.png,Overland & Off-Road Life,,Coffee first. Coordinates after. Enamel mug for the overlander who plans the day from the tailgate. No Signal Supply Co. #overlanding #campmug #offroad #campingcoffee #adventuregift,https://www.etsy.com/listing/4553886139,2026-10-30T17:00:00,"overlanding, campmug, offroad, campingcoffee, adventuregift"
"First Light First Pour Enamel Camp Mug, Sunrise Camping Coffee Gift",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-mug-firstlight.png,Vintage Outdoor Aesthetic,,"First light, first pour. The quietest hour of the whole trip. Enamel camp mug for the early risers. No Signal Supply Co. #campmug #sunrisecamping #campingcoffee #camping #outdoorgift",https://www.etsy.com/listing/4553891578,2026-10-31T17:00:00,"campmug, sunrisecamping, campingcoffee, camping, outdoorgift"
"Trail Fuel Enamel Camp Mug, Funny Hiking Coffee Gift for Backpackers",https://cdn.jsdelivr.net/gh/smayesyourtc-gif/pin-images@main/no-signal/PIN-mug-trailfuel.png,Hiking & Backpacking,,"Trail fuel, poured at the trailhead. Enamel mug for the hiker who doesn't start moving until the cup is empty. No Signal Supply Co. #hiking #backpacking #campmug #trailcoffee #hikinggift",https://www.etsy.com/listing/4553877237,2026-11-01T18:00:00,"hiking, backpacking, campmug, trailcoffee, hikinggift"
